model,fver,furl,fname,fdate,fsize,sha1,md5
DS-101,2.0.1-3,https://global.download.synology.com/download/DSM/release/Other/0371/synology_ixp420_1hd_0371.zip,synology_ixp420_1hd_0371.zip,2006-07-05 00:00:00,29819034,551988963b7fddca89b0abfbdae4c0ed0823caea,d2a6d187f06910fc4c9009a6486ffbc3
DS-101g+,2.0.3-0460,https://global.download.synology.com/download/DSM/release/Other/0460/DSM_DS-101g%2B_0460.zip,DSM_DS-101g%2B_0460.zip,2007-04-18 00:00:00,31494205,0461d0392edd94c6b3c25fd8caa0f8eaf4f12600,0d08b43a1fcdbabf5c0df52bb081ade4
DS-106,2.0-0731,https://global.download.synology.com/download/DSM/release/2.0/0731/DSM_DS-106_0731.zip,DSM_DS-106_0731.zip,2009-01-19 00:00:00,74971538,51c03effc7d49dd6b6aaf67e4e9c08788295f1e9,0f28deb8d7a3163fa6afc431d0026068
DS-106e,2.0-0731,https://global.download.synology.com/download/DSM/release/2.0/0731/DSM_DS-106e_0731.zip,DSM_DS-106e_0731.zip,2009-01-19 00:00:00,74976373,095c360ce9a3d6b816b24314f10954259bb3984f,114c34e4dfe4f3f09b992079c50fe5ee
DS109+,4.2-3256,https://global.download.synology.com/download/DSM/release/4.2/3256/DSM_DS109%2B_3256.pat,DSM_DS109%2B_3256.pat,2016-05-06 00:00:00,112588800,7d8444f8ba98456592f953bed4cf538886d0ba74,8cbd330ae38593a0e8dfbff4185c8279
DS-101j,2.0-0731,https://global.download.synology.com/download/DSM/release/2.0/0731/DSM_DS-101j_0731.zip,DSM_DS-101j_0731.zip,2009-01-19 00:00:00,43070485,6262b40b64c0d7ef9254a9fa68f56fa54b8496b5,9d2f9e32ab28281bdd15c9b171d1cd1e
DS109,4.2-3256,https://global.download.synology.com/download/DSM/release/4.2/3256/DSM_DS109_3256.pat,DSM_DS109_3256.pat,2016-05-06 00:00:00,111032320,3fa09c93886dad349e08c954f9b3e9fd0f8842de,158671e59dfa2f413eb042f69d22b4c2
DS108j,4.0-2265,https://global.download.synology.com/download/DSM/release/4.0/2265/DSM_DS108j_2265.pat,DSM_DS108j_2265.pat,2014-09-10 00:00:00,122808320,7af3a5a34e1f073a9949c0272e59b740072a3048,4d1e6100e3c65662a583079d1036b127
DS-106j,2.1-0844,https://global.download.synology.com/download/DSM/release/2.1/0844/DSM_DS-106j_0844.zip,DSM_DS-106j_0844.zip,2009-05-05 00:00:00,84552671,e7a9280d6aff42059e4809b491ee93ca03def4c9,884245c59263495348be2749429ecc71
DS109j,4.2-3256,https://global.download.synology.com/download/DSM/release/4.2/3256/DSM_DS109j_3256.pat,DSM_DS109j_3256.pat,2016-05-06 00:00:00,133857280,30217b9221b9161b9e3535a3bdd4fd2d545586cf,bf597baacb269062bde24600d8c44daa
DS107,3.1-1639,https://global.download.synology.com/download/DSM/release/3.1/1639/DSM_DS107_1639.pat,DSM_DS107_1639.pat,2014-09-10 00:00:00,157767680,7e73b754af7b27f4cc4960bca9ff065e595cbfb5,49abbd2cdde80998b305df7eb79fe5c9
DS107e,3.1-1639,https://global.download.synology.com/download/DSM/release/3.1/1639/DSM_DS107e_1639.pat,DSM_DS107e_1639.pat,2014-09-10 00:00:00,157777920,6040b1e08bef889fb249f7c3f327203f9fbb0cd2,78dcd90a01f0d073f1ec25af95d90d14
DS107+,3.1-1639,https://global.download.synology.com/download/DSM/release/3.1/1639/DSM_DS107%2B_1639.pat,DSM_DS107%2B_1639.pat,2014-09-10 00:00:00,158504960,02d7b9fa6fc41dcb91316bc56a0a58366419c8a5,70e5266dfdc6986bb0aa607260271813
DS214,6.1-15047,https://global.download.synology.com/download/DSM/release/6.1/15047/DSM_DS214_15047.pat,DSM_DS214_15047.pat,2017-02-21 00:00:00,170833920,99279f9e613371a2ff03ae6ff35b2ec907181077,08530a37457da66709999e9aa6efe183
DS214+,6.1-15047,https://global.download.synology.com/download/DSM/release/6.1/15047/DSM_DS214%2B_15047.pat,DSM_DS214%2B_15047.pat,2017-02-21 00:00:00,170854400,a0d02f8c37002edc58acca0983fb0a13fca3f25c,825ca8eb29cf2167ab6671348b4aaf25
DS216se,6.1-15047,https://global.download.synology.com/download/DSM/release/6.1/15047/DSM_DS216se_15047.pat,DSM_DS216se_15047.pat,2017-02-21 00:00:00,170311680,ed2a4c5acc9d3177a2bd7b5301d742f738806fce,d453b7868c090d3daa70385c55e2fb92
DS215+,6.1-15047,https://global.download.synology.com/download/DSM/release/6.1/15047/DSM_DS215%2B_15047.pat,DSM_DS215%2B_15047.pat,2017-02-21 00:00:00,177879040,c1001e4efe7063e99391c10350eefcc64ed0ce49,b47921e43ae0e227613f728c81dd6bd4
DS112j,6.1-15047,https://global.download.synology.com/download/DSM/release/6.1/15047/DSM_DS112j_15047.pat,DSM_DS112j_15047.pat,2017-02-21 00:00:00,179640320,2dde5a1f14582437af6f5122f10474f59ee0354b,a1d85773c1b4395a8e9416d172717869
RS214,6.1-15047,https://global.download.synology.com/download/DSM/release/6.1/15047/DSM_RS214_15047.pat,DSM_RS214_15047.pat,2017-02-21 00:00:00,170424320,bca33e584cfc9dcb3fdf76b0948ad884db71a59d,55f15155eec4406eea1dd77465a957e3
DS112+,6.1-15047,https://global.download.synology.com/download/DSM/release/6.1/15047/DSM_DS112%2B_15047.pat,DSM_DS112%2B_15047.pat,2017-02-21 00:00:00,179660800,40cc59b836d4b1e383a5851060ed63f649fced18,d4726dd95c694b1c3e6605e51b29f714
DS110+,5.2-5967,https://global.download.synology.com/download/DSM/release/5.2/5967/DSM_DS110%2B_5967.pat,DSM_DS110%2B_5967.pat,2016-04-28 00:00:00,168304640,32c06b472a2d2042b388c517785d4f69e6d5f1b5,36cc75611d8fd40179d1277512e3dfc9
DS215j,6.1-15047,https://global.download.synology.com/download/DSM/release/6.1/15047/DSM_DS215j_15047.pat,DSM_DS215j_15047.pat,2017-02-21 00:00:00,171356160,3ebcef991be38c54dcf588ff1c4fc7dfe5ce3698,46865a670ba22646fae37d9891cd734e
DS216j,6.1-15047,https://global.download.synology.com/download/DSM/release/6.1/15047/DSM_DS216j_15047.pat,DSM_DS216j_15047.pat,2017-02-21 00:00:00,189480960,ed1e5bf139e8c51fffacb54e47355c48f1aecfdd,0e2c3111fac892b453dc767e2b410e2d
DS112,6.1-15047,https://global.download.synology.com/download/DSM/release/6.1/15047/DSM_DS112_15047.pat,DSM_DS112_15047.pat,2017-02-21 00:00:00,179660800,8874dfbb4854170692c7bec73b794e4173a427bd,361246fa9590d3762d3b763a3896dd90
DS214se,6.1-15047,https://global.download.synology.com/download/DSM/release/6.1/15047/DSM_DS214se_15047.pat,DSM_DS214se_15047.pat,2017-02-21 00:00:00,170424320,21a84eefddbac9b08844fd983d8cd69fc0e12408,d88fbbb2767ea0ac3066fbaca3cce4e2
DS715,6.1-15047,https://global.download.synology.com/download/DSM/release/6.1/15047/DSM_DS715_15047.pat,DSM_DS715_15047.pat,2017-02-21 00:00:00,183541760,5a2d31382c056a69837f176a603c7b0948b60305,a938dafdc68dc4cbc1db30f9b99cc834
DS110j,5.2-5967,https://global.download.synology.com/download/DSM/release/5.2/5967/DSM_DS110j_5967.pat,DSM_DS110j_5967.pat,2016-04-28 00:00:00,168243200,16cd68be69b32d4a20508ea5ec4131e7598beedf,344b3c7daf515b709c0b4d370a7dc62a
RS212,6.1-15047,https://global.download.synology.com/download/DSM/release/6.1/15047/DSM_RS212_15047.pat,DSM_RS212_15047.pat,2017-02-21 00:00:00,180152320,eb4b329aa6c012709145531d9ae1f07ba6392881,c5620ab614cbba0ff721578b77d509c2
RS217,6.1-15047,https://global.download.synology.com/download/DSM/release/6.1/15047/DSM_RS217_15047.pat,DSM_RS217_15047.pat,2017-02-21 00:00:00,189501440,e41343589957abaa0d192986dc37dd6bb6df0830,5ecbb9a39f2a0b4c6aac7910e7edbd65
DS216,6.1-15047,https://global.download.synology.com/download/DSM/release/6.1/15047/DSM_DS216_15047.pat,DSM_DS216_15047.pat,2017-02-21 00:00:00,189491200,06bec335d3c3f9b0fc365132933e5bd801f3df65,cccace57174e10e0fcb7e40b9d5cfe74
DS716+II,6.1-15047,https://global.download.synology.com/download/DSM/release/6.1/15047/DSM_DS716%2BII_15047.pat,DSM_DS716%2BII_15047.pat,2017-02-21 00:00:00,213329920,12821711f22b8d1de5ae906232b8ef6c7cc19297,36b795532c10fd137b10785d11fb6f4f
DS214play,6.1-15047,https://global.download.synology.com/download/DSM/release/6.1/15047/DSM_DS214play_15047.pat,DSM_DS214play_15047.pat,2017-02-21 00:00:00,209960960,1318262a810f4a8ff74f83e1fc069ecf6a5af4f5,7c91b3630791a38c37a4d098dee5e04d
