model,rev,fw_ver,fw_url,fsize,fdate,sha1,md5
DAP-1150,A,,ftp://files.dlink.com.au/products/DAP-1150/REV_A/Firmware/DAP1150_FW111B04.zip,874845,1265811540.0,5b4eb5f6517e3e681a735d56e5d043edef4b8aa3,b05cb6351cbac372eab2bd02581380ed
DAP-1155,A,v1.01B03,ftp://files.dlink.com.au/products/DAP-1155/REV_A/Firmware/Firmware_v1.01B03/DAP1155A1_FW101B03.bin,1836084,1322733120.0,8ed5b5191e53d2a8f6953f5a41c3589d7547f122,8e7ce6ee7f81503ce77a4896ef5760ea
DAP-1320,A,v1.10b14,ftp://files.dlink.com.au/products/DAP-1320/REV_A/Firmware/Firmware_v1.10b14/DAP-1320_A1_FW110B14.bin,5439486,1375096080.0,84856d9a997c6b94ff780f7f4431437b00aed26b,920c5e5eaf2cb2d610b56cd05cf1f9a9
DAP-1320,A,v1.22b01,ftp://files.dlink.com.au/products/DAP-1320/REV_A/Firmware/Firmware_v1.22b01/DAP1320A1_FW122B01.bin,5439486,1466504520.0,f5de5be31a60f860e5a21a9e5a0c2403c13bbd68,703c7b4ae42f293badce8372ccf06c70
DAP-1320,A,v1.20b07,ftp://files.dlink.com.au/products/DAP-1320/REV_A/Firmware/Firmware_v1.20b07/DAP1320A2_FW120B07.bin,5439486,1396962360.0,f242fdfe0669b26a0a1db9a7d1680017d95f4101,b785302d312ec13ba275b3742a8d824d
DAP-1353,B,,ftp://files.dlink.com.au/products/DAP-1353/REV_B/Firmware/Firmware_3.15rc012/DAP1353B-firmware-v315-rc012.bin,4702400,1404229500.0,5e3497093098020f8bccd349fb2ec9484765459b,0921cad1a415f27836eda369f1bc5a28
DAP-1353,A,,ftp://files.dlink.com.au/products/DAP-1353/REV_A/Firmware/Firmware_2.11r013/DAP1353-firmware-v2.11-rc013.bin,3694720,1404229440.0,c13a83405ddd927ab98453cc8c1b7d2cef7a68cb,f2db4a1579668fa1c4c5193560c94d8e
DAP-1353,A,,ftp://files.dlink.com.au/products/DAP-1353/REV_A/Firmware/Firmware_2.10r030/DAP1353-firmware-v210-r0030.bin,3649664,1210174680.0,49ae1aee70497e800c0962ad44516f7d37868464,33cab708e203fb71ef572ec365496ff2
DAP-1360,F,v6.08b01,ftp://files.dlink.com.au/products/DAP-1360/REV_F/Firmware/Firmware_v6.08b01/DAP1360F1_FW608B01.img,3650216,1449230220.0,f9d45ec8a3bda1e115a7236e4a686586b3ea780b,f7a8358fde858b290453104dc219bd50
DAP-1360,F,v6.00b07,ftp://files.dlink.com.au/products/DAP-1360/REV_F/Firmware/Firmware_v6.00b07/DAP1360F1_FW600B07.img,3380392,1382437320.0,535948eb788d8463b259d6f3e1f1c677349217f7,2cee3f6e3635b1c8876e24beaf9587ce
DAP-1360,C,v3.05b03,ftp://files.dlink.com.au/products/DAP-1360/REV_C/Firmware/Firmware_v3.05b03/DAP1360C1_FW305B03.bin,2554932,1424096460.0,c97b0eb778d9bbe6fe057e9ece9934ba5d0911bc,afb4a83da0e8f9733242d9930da6e8a1
DAP-1360,C,v3.04b01,ftp://files.dlink.com.au/products/DAP-1360/REV_C/Firmware/Firmware_v3.04b01/DAP1360C1_FW304B01.bin,2650164,1417109820.0,ae14fa9fed7795876d30dd5f4706fca010df2250,ca89f8d74604f4e3005be058226b0864
DAP-1360,B,v2.14b05,ftp://files.dlink.com.au/products/DAP-1360/REV_B/Firmware/Firmware_v2.14b05/DAP1360B1_FW214B05.bin,2137140,1345567620.0,e8fca393672db689df70eae5fb018ae80700f1ea,ca9edbe76ba620cbe9da8ef409cc6f6e
DAP-1360,B,v2.10B02,ftp://files.dlink.com.au/products/DAP-1360/REV_B/Firmware/Firmware_v2.10B02/DAP1360B1_FW210B02_nml.bin,2071604,1276261320.0,f32495574a35c19752486b05fb1a32ca1dadb5a7,28cd455d5558f29184e22ac364f87e8a
