model,rev,fw_ver,fw_url,date,fsize,sha1,md5
A,DAP-1320,1.20B07Beta03,ftp://ftp.dlink.ca/PRODUCTS/DAP-1320/DAP-1320_REVA_FIRMWARE_1.20B07BETA03.BIN,2014-08-22 00:00:00,,957f3edc3dc180f74ce74b214190be73fd42c1e1,d5400c3d363f8e729db105342f167c16
A,DAP-1320,1.11,ftp://ftp.dlink.ca/PRODUCTS/DAP-1320/DAP-1320_REVA_FIRMWARE_1.11.BIN,2013-10-07 00:00:00,,c7377f1d5a079b6f978898ff58e6a145654ce53e,3d13558425d1147654e8801a99605ce6
A,DAP-1320,1.21b05,ftp://ftp.dlink.ca/PRODUCTS/DAP-1320/DAP-1320_REVA_FIRMWARE_1.21.B05.BIN,2014-08-07 00:00:00,,94adb7dd4743a27ebc29906f82a3ab9e03ad517d,0309e460e9167c7a56267a3d9f643e32
A,DAP-1330,1.00,ftp://ftp.dlink.ca/PRODUCTS/DAP-1330/DAP-1330_REVA_FIRMWARE_1.00B21.BIN,2016-01-19 00:00:00,,cac6859ba66d78892e2a48240aac3bf695943aa3,e83e547d02f313a6ba81367ee4d8e68f
B,DAP-1320,2.03,ftp://ftp.dlink.ca/PRODUCTS/DAP-1320/DAP-1320_REVB_FIRMWARE_203B02.BIN,2015-04-20 00:00:00,,fb2467705b920ac0380fc8ea3cbf41ca52e41a80,64f2eb5d2ae86907e2b544039539fe5c
ALL,DAP-1350,1.13,ftp://ftp.dlink.ca/PRODUCTS/DAP-1350/DAP-1350_FIRMWARE_1.13.BIN,2013-05-01 00:00:00,,680a3ca76744eadf1fe552fa5f9fc3c181cec777,3a7957a32bdca943a1ab0213545ce038
A,DAP-1360,1.10B08,ftp://ftp.dlink.ca/PRODUCTS/DAP-1360/DAP-1360_REVA_FIRMWARE_1.10B08.BIN,2013-05-01 00:00:00,,f1ce0a96d04a4dd05b11ffa6f1526af2ed4e89b5,7d6815b14237e040d35829713a30ed7a
B,DAP-1360,2.14B05,ftp://ftp.dlink.ca/PRODUCTS/DAP-1360/DAP-1360_REVB_FIRMWARE_2.14B05.BIN,2013-05-01 00:00:00,,e8fca393672db689df70eae5fb018ae80700f1ea,ca9edbe76ba620cbe9da8ef409cc6f6e
ALL,DAP-1513,1.02B18,ftp://ftp.dlink.ca/PRODUCTS/DAP-1513/DAP-1513_FIRMWARE_1.02B18.BIN,2013-05-01 00:00:00,,9aba85888345a844af0f8bef902d8ec097737d73,48267fa9eac5c647424c97edc38dcf17
A,DAP-1520,1.08,ftp://ftp.dlink.ca/PRODUCTS/DAP-1520/DAP-1520_REVA_FIRMWARE_1.08.BIN,2016-06-20 00:00:00,,fea78b611f1be8973126ad2511a64cc2fdfa9fba,82093146339541c1f9ad266f8e280156
A,DAP-1522,1.41,ftp://ftp.dlink.ca/PRODUCTS/DAP-1522/DAP-1522_REVA_FIRMWARE_1.41.BIN,2013-05-01 00:00:00,,b2b05cd190576da20e206174b9fa3290c0da85fa,03cf02472c21f4dd6f3722c68b332e06
B,DAP-1522,2.03,ftp://ftp.dlink.ca/PRODUCTS/DAP-1522/DAP-1522_REVB_FIRMWARE_2.03B01.BIN,2015-04-24 00:00:00,,f23e1cefda82b156295ed74ff86725c8cc8fe6e9,462ef39f73587db2a88d6f0f900f247e
