model,fver,fname,furl,fdate,fsize,sha1,md5
Plug-in for IE on MJPEG series cameras,0.0.0.47,635467243940456928365749239.zip,http://www.foscam.com/Private/ProductFiles/635467243940456928365749239.zip,2014-09-19 03:53:14+00:00,355256,431dd688c0aed9a43f2fd9311071b6fdf151e7ec,d6c0bb5553d036e068d079d8bc54d6b5
FI8910W,11.37.2.65,635689526846599000968995178.zip,http://www.foscam.com/Private/ProductFiles/635689526846599000968995178.zip,2015-06-03 11:04:56+00:00,2388403,d7dafd90664baa1e795adda707ab79a4127a56cc,be235b063d50ca9c0a99f06891786320
FI8910W,11.22.2.51,MJPEG indoor PT camera-11.22.2.51.zip,http://www.foscam.com/Private/ProductFiles/MJPEG indoor PT camera-11.22.2.51.zip,2013-06-04 09:34:55+00:00,2893348,11f85a1532a8a4401164a66a41653f41db912851,5e652cca6c5933410a44603b78f72d0f
FI8910W,11.37.2.65,635713632054154000534256879.zip,http://www.foscam.com/Private/ProductFiles/635713632054154000534256879.zip,2015-07-01 08:00:05+00:00,2384806,bdacef049b250b3792a386a7c6b5f74a652af92c,4861173f21af8c7424effcc62e1fa0a9
FI8904W,11.25.2.51,MJPEG outdoor waterproof camera-11.25.2.51.zip,http://www.foscam.com/Private/ProductFiles/MJPEG outdoor waterproof camera-11.25.2.51.zip,2013-06-04 09:32:38+00:00,2863619,610f1d588adfc79eeb0de9a469ce5606018eabf3,6e8cd3ffc380bd3d50020607328de17d
FI8907W,11.35.2.65,635689528803975000117630664.zip,http://www.foscam.com/Private/ProductFiles/635689528803975000117630664.zip,2015-06-03 11:05:50+00:00,2352330,62a4d4b819333d7d570efb1616179f4c4c7e98c2,66d558724d380d10769bff122064916c
FI8907W,11.25.2.51,MJPEG indoor fixed camera-11.25.2.51.zip,http://www.foscam.com/Private/ProductFiles/MJPEG indoor fixed camera-11.25.2.51.zip,2013-08-27 09:09:22+00:00,2843829,3f73783404f0386fb783be75b01ca87e69f95bab,c0e7ce54a695614fb84f495491eec87d
FI8907W,11.35.2.65,6357136382379940002056417075.zip,http://www.foscam.com/Private/ProductFiles/6357136382379940002056417075.zip,2015-07-01 08:10:23+00:00,2348369,c3290fe05a800f506c20667ca1ca7d75971ec181,ea667ffe1bf148732455675346c9a945
FI8904W,11.35.2.65,635689527831635000172230823.zip,http://www.foscam.com/Private/ProductFiles/635689527831635000172230823.zip,2015-06-03 11:05:55+00:00,2354398,724718275445f43b3ff34d8de6bb8b34290e2196,3f3b7299c89ed9e3aa8ddbbf19762d0d
FI8904W,11.35.2.65,Firmware 63To65 for FI8904W FI8905W FI8906W FI8905E.zip,http://www.foscam.com/Private/ProductFiles/Firmware 63To65 for FI8904W FI8905W FI8906W FI8905E.zip,2016-01-14 05:51:10+00:00,2350234,4c13149f4748f7ade72d20e1698b7d289c9cbf70,d6033e571167f305f8bd5a5e25ee21a9
FI8919W,11.37.2.65,Firmware 63To65 for FI8919W.zip,http://www.foscam.com/Private/ProductFiles/Firmware 63To65 for FI8919W.zip,2016-01-14 05:51:21+00:00,2368754,67c772686506e8d9b5c313a07233c6fc9db3c26a,29cf5bbe6c556fd9a8cd8cb5e81b20db
FI8919W,11.37.2.65,6356895296360390001120894239.zip,http://www.foscam.com/Private/ProductFiles/6356895296360390001120894239.zip,2015-06-03 11:18:02+00:00,2374152,2f71d8d074901a3ed3bd1cae914b373150ef2186,a9f1c515ea1492aed3c086cbbfd10105
