model,fver,fname,furl,fdate,fsize,sha1,md5
ipTIME,1.18 (2017-01-05),ipTIME_Firmware_Wizard(11n_150).exe,http://download.iptime.co.kr/online_upgrade/ipTIME_Firmware_Wizard(11n_150).exe,2017-01-05 06:40:12+00:00,57792184,b1f3e1cffc4fc447730f3b0e7b665d9332d5e87b,55f0a54d66561fb052504524fdd4119b
ipTIME A7NS,9.98.8,a7ns_kr_9_988.bin,http://download.iptime.co.kr/online_upgrade/a7ns_kr_9_988.bin,2017-01-10 04:31:03+00:00,14811192,4e9777d128a808818e3216eaf5ec8f343be0e256,83c494706083940b7cff1c6b168b6b9c
ipTIME A704NS-BCM,9.98.8,a704nb_kr_9_988.bin,http://download.iptime.co.kr/online_upgrade/a704nb_kr_9_988.bin,2017-01-10 04:31:03+00:00,14524472,84de672f64f58f2456f03ec96a33240da58df80d,d51583bcb0ef9a038c638eba672f13e2
ipTIME A6004ns,9.98.8,a6004ns_kr_9_988.bin,http://download.iptime.co.kr/online_upgrade/a6004ns_kr_9_988.bin,2017-01-10 04:31:02+00:00,24301624,180e05239f70a2063b77aac5cd2587243f381378,57ec87056dddab3d722c39c13efffb54
ipTIME A5004ns,9.98.8,a5004ns_kr_9_988.bin,http://download.iptime.co.kr/online_upgrade/a5004ns_kr_9_988.bin,2017-01-10 04:30:59+00:00,24293432,efb17d44177b17a186b365645015df3a43cafbc9,2b2c486ede9932cb1a7ab2de2d7dad06
ipTIME A3004NS-BCM,9.98.8,a3004nb_kr_9_988.bin,http://download.iptime.co.kr/online_upgrade/a3004nb_kr_9_988.bin,2017-01-10 04:30:58+00:00,15724600,db7b0f162f7714ae086f60a87462d3b7a69feeb4,000e097a4885f1be3d562b21832ae631
ipTIME A3004ns,9.98.8,a3004ns_kr_9_988.bin,http://download.iptime.co.kr/online_upgrade/a3004ns_kr_9_988.bin,2017-01-10 04:30:55+00:00,8241208,4e02d4a67246f1e93247248dc9da6411c0a382ae,777fbd45e7309766775f465c51973c8b
ipTIME A3004,9.98.8,a3004_kr_9_988.bin,http://download.iptime.co.kr/online_upgrade/a3004_kr_9_988.bin,2017-01-10 04:30:54+00:00,6291512,931cf0ac4139c1bba17dc2073e3de0e0e4a31e7f,52b008864abdb2ff893fffb988baa61c
ipTIME N704V3,9.98.6,n704v3_kr_9_986.bin,http://download.iptime.co.kr/online_upgrade/n704v3_kr_9_986.bin,2016-12-26 01:21:25+00:00,4120632,aad05ec8d6057d1f907c8f2440ba6c189cdf8a6f,a47f10c498888c2a2bc5190c5a68db1b
ipTIME N704BCM,9.98.6,n704bcm_kr_9_986.bin,http://download.iptime.co.kr/online_upgrade/n704bcm_kr_9_986.bin,2016-12-26 01:21:25+00:00,4120632,dd913fa29417f15944fde67c10ca65042fed511f,fd59f5f3fb9036fb765fffc9688d42c6
ipTIME N704-A3,9.98.6,n704a3_kr_9_986.bin,http://download.iptime.co.kr/online_upgrade/n704a3_kr_9_986.bin,2016-12-26 01:21:26+00:00,4120632,6034e543e499da2f67bcf5188d61336fb4329785,acd76aba771ccb54530224d898ec9f7c
ipTIME N702BCM,9.98.6,n702bcm_kr_9_986.bin,http://download.iptime.co.kr/online_upgrade/n702bcm_kr_9_986.bin,2016-12-26 01:21:24+00:00,4120632,74dc5d32ccdbc745d9d5d49955bd5f8b244c9bd9,8a554897e7de085bc22e542fbde004e9
ipTIME N604S,9.98.6,n604s_kr_9_986.bin,http://download.iptime.co.kr/online_upgrade/n604s_kr_9_986.bin,2016-12-26 01:21:24+00:00,4116536,11478804f17c988a7eb8b39f90e72eaa72117a7a,10678a9f4d7716ce33e1fc57e837ba58
ipTIME,1.18 (2017-01-05),ipTIME_Firmware_Wizard(11n_150).exe,http://download.iptime.co.kr/online_upgrade/ipTIME_Firmware_Wizard(11n_150).exe,2017-01-05 06:40:12+00:00,57792184,b1f3e1cffc4fc447730f3b0e7b665d9332d5e87b,55f0a54d66561fb052504524fdd4119b
ipTIME N604A,9.98.6,n604a_kr_9_986.bin,http://download.iptime.co.kr/online_upgrade/n604a_kr_9_986.bin,2016-12-26 01:21:27+00:00,4116536,af4ffac82266d28259f0a65d5485994f20fdb094,3cce49ebaa23446f7dcb8ae2c6ce0720
ipTIME EW302N,9.98.6,ew302_kr_9_986.bin,http://download.iptime.co.kr/online_upgrade/ew302_kr_9_986.bin,2016-12-26 01:21:26+00:00,4120632,45d286bb74058eeecc5a35a8cae82b1c53b10e3d,ead6913bf9dc29cd90675ad02fd68456
ipTIME A7NS,9.98.6,a7ns_kr_9_986.bin,http://download.iptime.co.kr/online_upgrade/a7ns_kr_9_986.bin,2016-12-30 02:26:51+00:00,14811192,2d25a8109fad742820f00450fefbc2d32cf34c4d,7ec1e73cbc099643aec3203ad21a5b9b
ipTIME A704NS-BCM,9.98.6,a704nb_kr_9_986.bin,http://download.iptime.co.kr/online_upgrade/a704nb_kr_9_986.bin,2016-12-26 01:21:40+00:00,14524472,afa4ba762fa210d2adf4526d6b9c5649cd25ae82,53772b172ad0a14f90c50e8aad15b400
ipTIME A6004ns,9.98.6,a6004ns_kr_9_986.bin,http://download.iptime.co.kr/online_upgrade/a6004ns_kr_9_986.bin,2016-12-26 01:21:40+00:00,24297528,730f9d30e7fe3722a37abcdb8087e9f9882a34d9,3969cb8d4b67d1d6e291b56e38ba7bf7
ipTIME A5004ns,9.98.6,a5004ns_kr_9_986.bin,http://download.iptime.co.kr/online_upgrade/a5004ns_kr_9_986.bin,2016-12-26 01:21:37+00:00,24293432,f913e2b18f099dddcb523d66ba80afbaf1686df4,c87404d04eed390a72c421cc14458c02
ipTIME A3004NS-BCM,9.98.6,a3004nb_kr_9_986.bin,http://download.iptime.co.kr/online_upgrade/a3004nb_kr_9_986.bin,2016-12-26 01:21:42+00:00,15724600,ae629708c88ea6fc58075cecef77c8e565378953,3455cc60a6f74fc311426f37746993ed
ipTIME A3004ns,9.98.6,a3004ns_kr_9_986.bin,http://download.iptime.co.kr/online_upgrade/a3004ns_kr_9_986.bin,2016-12-26 01:21:36+00:00,8237112,71c2ed3e66f62d8d6e69ce7b8cb3df7f8ddea7c2,ac16deb93fcfbc62756099651df6996f
ipTIME A3004,9.98.6,a3004_kr_9_986.bin,http://download.iptime.co.kr/online_upgrade/a3004_kr_9_986.bin,2016-12-26 01:21:41+00:00,6291512,ddba1169d39930670da80bf5b005ff7d375b03ab,c53e8043f187f46171c0ec079bcfd5ec
ipTIME N704-A3,9.98.4,n704a3_kr_9_984.bin,http://download.iptime.co.kr/online_upgrade/n704a3_kr_9_984.bin,2016-12-21 04:30:02+00:00,4120632,455750d27ffbc5f789c8fb0594b0864a3cd794e0,4281d1ada96a3f62efd577b554f3712a
ipTIME N6,9.98.4,n6_kr_9_984.bin,http://download.iptime.co.kr/online_upgrade/n6_kr_9_984.bin,2016-12-21 04:29:39+00:00,2859008,e814a721623943d2cc27dd8df48497215166e63b,82004768b1d08625b379a20f06305ddf
ipTIME N604Vplus,9.98.4,n604v_kr_9_984.bin,http://download.iptime.co.kr/online_upgrade/n604v_kr_9_984.bin,2016-12-21 04:29:38+00:00,2088960,928b65d9759e74e09b2fddcf20473afcdf57718e,53a714ea8833acc0dba456e5408bf611
ipTIME N604V,9.98.4,n604v_kr_9_984.bin,http://download.iptime.co.kr/online_upgrade/n604v_kr_9_984.bin,2016-12-21 04:29:38+00:00,2088960,928b65d9759e74e09b2fddcf20473afcdf57718e,53a714ea8833acc0dba456e5408bf611
ipTIME N604Rplus,9.98.4,n604r_kr_9_984.bin,http://download.iptime.co.kr/online_upgrade/n604r_kr_9_984.bin,2016-12-21 04:29:36+00:00,2080768,40ad99ba3449288b2aed5e8620a18621651da7cf,4e53d6aec0873f69bcae2cb2b3c7924f
ipTIME N604R,9.98.4,n604r_kr_9_984.bin,http://download.iptime.co.kr/online_upgrade/n604r_kr_9_984.bin,2016-12-21 04:29:36+00:00,2080768,40ad99ba3449288b2aed5e8620a18621651da7cf,4e53d6aec0873f69bcae2cb2b3c7924f
ipTIME N604plus,9.98.4,n604p_kr_9_984.bin,http://download.iptime.co.kr/online_upgrade/n604p_kr_9_984.bin,2016-12-21 04:29:35+00:00,2080768,56862d698ef90a2e9da185705e38b77c4a2913ec,d7da618d13dfae3773ad1665b19c0763
ipTIME N5,9.98.4,n5_kr_9_984.bin,http://download.iptime.co.kr/online_upgrade/n5_kr_9_984.bin,2016-12-21 04:29:38+00:00,2080768,e702e792ea31cd12f832603c0c48b3dc2d7848ce,873f18641d2c98022c7f46e522686f1b
ipTIME N3,9.98.4,n3_kr_9_984.bin,http://download.iptime.co.kr/online_upgrade/n3_kr_9_984.bin,2016-12-21 04:29:35+00:00,2080768,f256309dabcfc94b140d7837e5c2b9d03c88b593,34873c7ab271abd311f11b3f8485bcb8
ipTIME N2plus,9.98.4,n2p_kr_9_984.bin,http://download.iptime.co.kr/online_upgrade/n2p_kr_9_984.bin,2016-12-21 04:29:35+00:00,2080768,13124b0909da0f2b4dfe39062afcba2adf34da3e,c9a70a143fd25b6160a67325c110a9a7
ipTIME N2Eplus,9.98.4,n2e_kr_9_984.bin,http://download.iptime.co.kr/online_upgrade/n2e_kr_9_984.bin,2016-12-21 04:29:37+00:00,2080768,5b7520ab830370759e43e50a3edd6abffc625566,63767e4ac66bf871eec5172058413e39
