model,fw_ver,fw_url,rel_date,fsize,sha1,md5
DXS-3600-16S,R2.00.B042,https://www.dlink-jp.com/wp-content/uploads/2013/03/DXS-3600_FW_R2.00.B042.zip,2014-09-16 00:00:00,10172592,a8db89b27358fda6905d27c915d17b4b1a1c1e91,0c9da22dc9ddfbc16bb307b129e3588c
DXS-3600-16S,R2.40.046,https://www.dlink-jp.com/wp-content/uploads/2013/03/DXS-3600-16S_32S_FW-R2.4.zip,2015-11-24 00:00:00,22421883,21782e2bd0cfb716573e801fb4afc76b6432ebe9,49dabfe32d3767375c8bd67da27c8dc7
DXS-3600-EM-4QXS,R2.40.046,https://www.dlink-jp.com/wp-content/uploads/2013/03/DXS-3600-16S_32S_FW-R2.43.zip,2015-11-24 00:00:00,22421883,21782e2bd0cfb716573e801fb4afc76b6432ebe9,49dabfe32d3767375c8bd67da27c8dc7
DXS-3600-EM-4QXS,R2.00.B042,https://www.dlink-jp.com/wp-content/uploads/2013/03/DXS-3600_FW_R2.00.B0424.zip,2014-09-16 00:00:00,10172592,a8db89b27358fda6905d27c915d17b4b1a1c1e91,0c9da22dc9ddfbc16bb307b129e3588c
DXS-3600-32S,R2.00.B042,https://www.dlink-jp.com/wp-content/uploads/2013/03/DXS-3600_FW_R2.00.B0421.zip,2014-09-16 00:00:00,10172592,a8db89b27358fda6905d27c915d17b4b1a1c1e91,0c9da22dc9ddfbc16bb307b129e3588c
DXS-3600-32S,R2.40.046,https://www.dlink-jp.com/wp-content/uploads/2013/03/DXS-3600-16S_32S_FW-R2.4-1.zip,2015-11-24 00:00:00,22421883,21782e2bd0cfb716573e801fb4afc76b6432ebe9,49dabfe32d3767375c8bd67da27c8dc7
DXS-3600-EM-8XS,R2.00.B042,https://www.dlink-jp.com/wp-content/uploads/2013/03/DXS-3600_FW_R2.00.B0422.zip,2014-09-16 00:00:00,10172592,a8db89b27358fda6905d27c915d17b4b1a1c1e91,0c9da22dc9ddfbc16bb307b129e3588c
DXS-3600-EM-4XT,R2.00.B042,https://www.dlink-jp.com/wp-content/uploads/2013/03/DXS-3600_FW_R2.00.B0423.zip,2014-09-16 00:00:00,10172592,a8db89b27358fda6905d27c915d17b4b1a1c1e91,0c9da22dc9ddfbc16bb307b129e3588c
DXS-3600-EM-Stack,R2.00.B042,https://www.dlink-jp.com/wp-content/uploads/2013/03/DXS-3600_FW_R2.00.B0429.zip,2014-09-16 00:00:00,10172592,a8db89b27358fda6905d27c915d17b4b1a1c1e91,0c9da22dc9ddfbc16bb307b129e3588c
DXS-3600-EM-8XS,R2.40.046,https://www.dlink-jp.com/wp-content/uploads/2013/03/DXS-3600-16S_32S_FW-R2.41.zip,2015-11-24 00:00:00,22421883,21782e2bd0cfb716573e801fb4afc76b6432ebe9,49dabfe32d3767375c8bd67da27c8dc7
DXS-3600-EM-4XT,R2.40.046,https://www.dlink-jp.com/wp-content/uploads/2013/03/DXS-3600-16S_32S_FW-R2.42.zip,2015-11-24 00:00:00,22421883,21782e2bd0cfb716573e801fb4afc76b6432ebe9,49dabfe32d3767375c8bd67da27c8dc7
DXS-3600-EM-Stack,R2.40.046,https://www.dlink-jp.com/wp-content/uploads/2013/03/DXS-3600-16S_32S_FW-R2.44.zip,2015-11-24 00:00:00,22421883,21782e2bd0cfb716573e801fb4afc76b6432ebe9,49dabfe32d3767375c8bd67da27c8dc7
DXS-3600-EM-8T,R2.00.B042,https://www.dlink-jp.com/wp-content/uploads/2013/03/DXS-3600_FW_R2.00.B0425.zip,2014-09-16 00:00:00,10172592,a8db89b27358fda6905d27c915d17b4b1a1c1e91,0c9da22dc9ddfbc16bb307b129e3588c
DXS-3600-EM-8T,R2.40.046,https://www.dlink-jp.com/wp-content/uploads/2013/03/DXS-3600-16S_32S_FW-R2.45.zip,2015-11-24 00:00:00,22421883,21782e2bd0cfb716573e801fb4afc76b6432ebe9,49dabfe32d3767375c8bd67da27c8dc7
DXS-3600-PWR-FB/BF,R2.00.B042,https://www.dlink-jp.com/wp-content/uploads/2013/03/DXS-3600_FW_R2.00.B0426.zip,2014-09-16 00:00:00,10172592,a8db89b27358fda6905d27c915d17b4b1a1c1e91,0c9da22dc9ddfbc16bb307b129e3588c
DXS-3600-PWRDC-FB,R2.00.B042,https://www.dlink-jp.com/wp-content/uploads/2013/03/DXS-3600_FW_R2.00.B0427.zip,2014-09-16 00:00:00,10172592,a8db89b27358fda6905d27c915d17b4b1a1c1e91,0c9da22dc9ddfbc16bb307b129e3588c
DXS-3600-FAN-FB/BF,R2.00.B042,https://www.dlink-jp.com/wp-content/uploads/2013/03/DXS-3600_FW_R2.00.B0428.zip,2014-09-16 00:00:00,10172592,a8db89b27358fda6905d27c915d17b4b1a1c1e91,0c9da22dc9ddfbc16bb307b129e3588c
DXS-3600-PWR-FB/BF,R2.40.046,https://www.dlink-jp.com/wp-content/uploads/2013/03/DXS-3600-16S_32S_FW-R2.46.zip,2015-11-24 00:00:00,22421883,21782e2bd0cfb716573e801fb4afc76b6432ebe9,49dabfe32d3767375c8bd67da27c8dc7
DGS-3620-28TC,R2.60.B047,https://www.dlink-jp.com/wp-content/uploads/2011/10/DGS-3620__R2_60_B047.zip,2016-06-20 00:00:00,8278687,9c5f6da7123210e4b7ab8fafa0eab651b4df4688,162b842610e7e0d37e091f97122bcb53
