model,hw_rev,fver,furl,fdate,fsize,sha1,md5
E1000,2.1,2.1.03,http://downloads.linksys.com/downloads/firmware/FW_E1000_2.1.03.005_US_20140321.bin,2014-10-28 18:59:37+00:00,3850272,7d8ec6226df42fdbb704a61019cd2dd83d00fd3e,c80fdb61e1bb2c4a0653c58e8c9ce384
E1000,1.0,2.1.03,http://downloads.linksys.com/downloads/firmware/1224655367374/FW_E1000_2.1.03.005_US_20140321.bin,2014-10-28 18:59:17+00:00,3850272,7d8ec6226df42fdbb704a61019cd2dd83d00fd3e,c80fdb61e1bb2c4a0653c58e8c9ce384
E1200,1.0,1.0.04,http://downloads.linksys.com/downloads/firmware/FW_E1200_v1.0.04.001_US_20120307.bin,2014-10-28 18:59:37+00:00,3813408,f8e681988d304e51f92036c091af0a56ef6aaa2d,fb9160cbbea4be701eb98239095ef8ed
E1200,2.2,2.0.07,http://downloads.linksys.com/downloads/firmware/FW_E1200v2.0.7.005_US_20160713_code.bin,2016-08-01 02:08:16+00:00,7685120,1c11141520f6369ecc016c3f4d866edc4020f38b,eb3752a5b72ccb0c9a92079fab88663e
E1500,1.0,1.0.06,http://downloads.linksys.com/downloads/firmware/1224666604712/FW_E1500_v1.0.06.001_US_20140327_code.bin,2014-10-28 18:59:16+00:00,7001088,a39aa5b34520617f03888f2695c6899bcf68e60d,2c8e638cf577bb3f17ef3479c73b2941
E1550,1.0,1.0.03,http://downloads.linksys.com/downloads/firmware/FW_E1550_1.0.03.002_US_20120201_code.bin,2014-10-28 18:59:29+00:00,10109952,dcb7f15c1991f36f38b6462bbe81de3664678a00,81d9f75a5e1535a0976c6b27bdcb5c3c
E1700,1.0,1.0.03,http://downloads.linksys.com/downloads/firmware/FW_E1700_v1.0.03.003_20160512.bin,2016-06-21 07:01:31+00:00,6273218,79f952dda8a9ce8b9fb2845d7ddc3e1908451188,a34ace7e931115f84b75cd7341ff9fd8
E2100L,1.0,1.0.05,http://downloads.linksys.com/downloads/firmware/1224655367568/FW_E2100L_1.0.05.004_20120308_code.bin,2014-10-28 18:59:17+00:00,7300096,9dabcc7362dfe52826db824aa9b676722a2ef77b,2469e5b7292f354cb8a146b64fc002b3
E2000,1.0,1.0.06,http://cache-www.belkin.com/support/dl/FW_E2000_1.0.06.001_US_20140310_code.bin,2015-05-06 02:08:09+00:00,5460992,fbec812f9d49c6a9729de4fd435a505cfbfc449e,7d1202e766db6a49b3142959b6080b19
E2500,2.0,2.0.00,http://downloads.linksys.com/downloads/firmware/1224666609554/FW_E2500_2.0.00.001_US_20140417.bin,2014-10-28 18:59:16+00:00,7242752,e7b9ae8155547882d9b62932b7b27fbfc641ef85,d530474210237f60c3ca7d6465301bdc
E2500,3.0,3.0.02,http://downloads.linksys.com/downloads/firmware/FW_E2500_3.0.02.002_20160606.bin,2016-06-22 03:22:47+00:00,12690432,6bd5ca4007b9ec2c36bcc59830fe7c9003eb934e,84cd06d087f4401bb1823b9064282f16
