model,fver,fname,furl,fdate,fsize,sha1,md5
F3,V11.13.01.11_en(For,US_F3V1.0br_V11.13.01.11_en_LAS01.rar,http://down.tendacn.com/uploadfile/US_F3V1.0br_V11.13.01.11_en_LAS01.rar,,1163,aef448ce5500e3734059ec285cf6ec0b547075f2,8363acaeab9cbb099b59b78a44127ca6
TEG3210P,V60.0.2.2_EN,TEG3210P Firmware.rar,http://down.tendacn.com/uploadfile/2016/Firmware/TEG3210P Firmware.rar,,1163,aef448ce5500e3734059ec285cf6ec0b547075f2,8363acaeab9cbb099b59b78a44127ca6
PH3,V3.2.2_EU,US_PH3V1.0BR_V3.2.2_EU.rar,http://down.tendacn.com/uploadfile/2017/Firmware/US_PH3V1.0BR_V3.2.2_EU.rar,2017-01-04 06:13:26+00:00,338179,f084977a418419a31113cef71fffaf30002e488b,8a16729e064a0f6cd9c6946761755988
PH3,V3.2.4_US,US_PH3V1.0BR_V3.2.4_US.rar,http://down.tendacn.com/uploadfile/2017/Firmware/US_PH3V1.0BR_V3.2.4_US.rar,2017-01-04 06:14:47+00:00,367503,e74e6f8ae3d227c52faa88ed83042d0fab6c1be7,da8da2ec253c1efaed5153b6b4ebe5df
A9,V12.01.01.22_EN,US_A9V1.0RTL_V12.01.01.22_multi_TD01.rar,http://down.tendacn.com/uploadfile/2017/Firmware/US_A9V1.0RTL_V12.01.01.22_multi_TD01.rar,2016-11-25 07:54:38+00:00,910371,b80e861724775e3a16707a608ac62c46799c48a1,0b80c0c8f49c5798f77f507da31a7dec
FH456,Firmware,US_FH456V2.0BR_V11.13.01.20_multi_TDEGYH01.rar,http://down.tendacn.com/uploadfile/201401/FH456/US_FH456V2.0BR_V11.13.01.20_multi_TDEGYH01.rar,2016-04-19 06:40:01+00:00,1187950,2de7f22d04efbbab17badc1fc58ffc446675283b,53a14a03457fcb019e5d5514afb85e3d
FH456V2.0,V11.13.01.12_EN(For,US_FH456V2.0br_V11.13.01.12_en_LAS01.rar,http://down.tendacn.com/uploadfile/2016/Firmware/US_FH456V2.0br_V11.13.01.12_en_LAS01.rar,2016-08-22 07:02:50+00:00,1208424,79aff450e9d50d8cc05b46781e4a317ce8e33907,b2ce4df676aed82b8f7554e12e9796e7
N301,V11.13.01.23_EN,US_N301V1.0BR_V11.13.01.23_multi_TDEGYH01 .rar,http://down.tendacn.com/uploadfile/201401/N301/US_N301V1.0BR_V11.13.01.23_multi_TDEGYH01 .rar,2016-04-19 06:36:49+00:00,1187950,a43282f84830becced8e2eed29e076bd313875df,18b06883d0a94895d00f97cbc960185d
FH303,V11.13.01.25_multi_LTA01,US_FH303V2.0br_V11.13.01.25_multi_LTA01_NEW.rar,http://down.tendacn.com/uploadfile/2016/Firmware/US_FH303V2.0br_V11.13.01.25_multi_LTA01_NEW.rar,2016-07-07 06:01:27+00:00,1192047,7e5a33ffd3bc741254787cb38115a66c9ca56314,118546ff8b60c39d757feb41bdde7500
FH456V2.0,V11.13.01.25_multi_LTA01,US_FH456V2.0br_V11.13.01.25_multi_LTA01_new.rar,http://down.tendacn.com/uploadfile/2016/Firmware/US_FH456V2.0br_V11.13.01.25_multi_LTA01_new.rar,2016-07-07 06:00:24+00:00,1192047,0b6fa5b5e09f84c14b487bccf82862c65a2035f5,e77f09fbe94f55c96398c0ba7cd531c1
W309R+Firmware,Malaysia),US_W309R+V3.0br_V11.13.01.11_en_LAS01_new.rar,http://down.tendacn.com/uploadfile/2016/Firmware/US_W309R+V3.0br_V11.13.01.11_en_LAS01_new.rar,2016-08-22 07:04:00+00:00,1208429,e9d838b7317143a9305f3227d5f4265eff2b8c74,3f80e6b8179d10442bcde5729b818ce6
F3,V11.13.01.23_EN,US_F3V1.0BR_V11.13.01.23_multi_TDEGYH01.rar,http://down.tendacn.com/uploadfile/201401/F3/US_F3V1.0BR_V11.13.01.23_multi_TDEGYH01.rar,2016-04-19 06:48:55+00:00,1187947,eea4247e25383d9cb5bd5789f41e60f1faa00c72,764a93f29fb48a2025025362315a0918
WH302A,V2.0.0.3_EN,US_WH302AV1.0BR_V2.0.0.3_EN_TDE01.rar,http://down.tendacn.com/uploadfile/Firmware/WH302A/US_WH302AV1.0BR_V2.0.0.3_EN_TDE01.rar,,1163,aef448ce5500e3734059ec285cf6ec0b547075f2,8363acaeab9cbb099b59b78a44127ca6
WH450A,V2.0.0.1_EN,US_WH450AV1.0BR_V2.0.0.1_CN_EN_TDE01.rar,http://down.tendacn.com/uploadfile/Firmware/WH450A/US_WH450AV1.0BR_V2.0.0.1_CN_EN_TDE01.rar,,1163,aef448ce5500e3734059ec285cf6ec0b547075f2,8363acaeab9cbb099b59b78a44127ca6
N301,V11.13.01.25_multi_LTA01,US_N301V1.0br_V11.13.01.25_multi_LTA01_NEW.rar,http://down.tendacn.com/uploadfile/2016/Firmware/US_N301V1.0br_V11.13.01.25_multi_LTA01_NEW.rar,2016-07-07 06:02:08+00:00,1192046,556fe3013da2c9d75960bc7061ad732383611409,9380743f660d4b340a9724589c020253
W308R,V5.07.54_EN,US_W308RV2.0Br_V5.07.54_en_TD.new.rar,http://down.tendacn.com/uploadfile/201401/W308R/US_W308RV2.0Br_V5.07.54_en_TD.new.rar,2016-03-29 02:12:45+00:00,1036389,04f1f35a0e90a25b3e89db7a0f556d50f0d44d27,66da7f1dea9e6689a4bb47a2087dcae5
F3,V11.13.01.25_multi_LTA01,US_F3V1.0br_V11.13.01.25_multi_LTA01_new.rar,http://down.tendacn.com/uploadfile/2016/Firmware/US_F3V1.0br_V11.13.01.25_multi_LTA01_new.rar,2016-07-07 05:59:54+00:00,1192044,7fd95aaa36e41dd5d8a8c3beaf67886ffed6cb9f,937e6089b28b570d2f5b9aa53a93d4b4
FH303,V5.07.68_EN,US_FH303V2.0_V5.07.68_en_TD.rar,http://down.tendacn.com/uploadfile/201401/FH303/US_FH303V2.0_V5.07.68_en_TD.rar,2016-03-29 02:09:38+00:00,1040479,ee25efb18ee6b28cb3afaaf48c5bdf4758e6ba87,854e4c0c656228192f577066d8061667
F303,V5.07.53_EN,US_F303V1.0BR_V5.07.53_en_TD.rar,http://down.tendacn.com/uploadfile/201401/F303/US_F303V1.0BR_V5.07.53_en_TD.rar,2016-03-29 01:52:05+00:00,1036384,d4a312a5b419aaa6caf81c7f002c688890700f0f,2a59efd1e8cfd0b1569d60c9f58bd74d
W6_US,V1.0.0.1(353)_CN,US_W6_USV1.0RTL_V1.0.0.1(353)_CN&EN_TDE01.rar,http://down.tendacn.com/uploadfile/2017/Firmware/US_W6_USV1.0RTL_V1.0.0.1(353)_CN&EN_TDE01.rar,2016-12-27 07:35:17+00:00,2640861,51ea4a8f50fe2dbbc7a5b63dcf8c3d279eeea253,0d2e3233726bba31d171fbfcbf151cd2
FH330,Firmware,US_FH330V3.0BR_V11.13.01.04_en_TDE.rar,http://down.tendacn.com/uploadfile/201401/FH330/US_FH330V3.0BR_V11.13.01.04_en_TDE.rar,2016-03-04 03:28:27+00:00,880742,d8ab05519104bb905d03a73aded5d81ce41322f5,f3ff7e05639b57b5ce6568ee4b0212b6
FH456V2.0,V11.13.01.09_EN,US_FH456V2.0BR_V11.13.01.09_en_TDE01.rar,http://down.tendacn.com/uploadfile/201401/FH456/US_FH456V2.0BR_V11.13.01.09_en_TDE01.rar,2016-03-03 08:39:16+00:00,1011487,5b810302c684b531b4b91a29677760fa4daffcf2,357b7337650c472fa6fe7abaa0961bfb
AP4,V1.0.0.12(3916)_EN,CE Version US_AP4V1.0BR_V1.0.0.12(3916)_TDE01.rar,http://down.tendacn.com/uploadfile/AP4/CE Version US_AP4V1.0BR_V1.0.0.12(3916)_TDE01.rar,2016-07-19 08:26:07+00:00,3842225,83ad6e623d303e17c9f12d412d8c85bef93f4a68,6bd3057327688a20ed8bfb11d54eb700
FH456V1.0,V11.11.01.07_EN,US_FH456V1.0br_V11.11.01.07_en.rar,http://down.tendacn.com/uploadfile/201401/FH456/US_FH456V1.0br_V11.11.01.07_en.rar,2016-03-03 08:38:53+00:00,880738,ce8a557be8d496eef9fb87d15311544cb95dffbc,d992527b28039a495ff4ec0933abe90e
i6,V1.0.0.9(3857)_EN,CE Version_US_i6V1.0BR_V1.0.0.9(3857)_TDE01.rar,http://down.tendacn.com/uploadfile/I6/CE Version_US_i6V1.0BR_V1.0.0.9(3857)_TDE01.rar,2016-07-19 08:50:49+00:00,3649711,d5b514274aef022fb86a091fef4037851585759d,43c96f494916dc774082c91ea2c36ca3
W6,V1.0.0.8(3827)_EN,US_W6V1.0BR_V1.0.0.8(3827)_TDE01.rar,http://down.tendacn.com/uploadfile/W6/US_W6V1.0BR_V1.0.0.8(3827)_TDE01.rar,2016-07-19 09:05:45+00:00,3649700,8620bf48bac33c6cd2a2bd3797e88f4bab11743d,e983c2b6a71eb21cd6099ee7083fe2c3
W312A,V2.0.0.3(1330)_EN,US_W312AV1.0BR_V2.0.0.3(1330)_EN_TDE.rar,http://down.tendacn.com/uploadfile/201401/W312A/US_W312AV1.0BR_V2.0.0.3(1330)_EN_TDE.rar,2016-03-29 07:10:18+00:00,3768488,64652c50a7125c419e06f0a8172b08a3a1d40a85,c8397c61d8507920253e2db07245f716
