model,fver,fname,furl,fdate,fsize,sha1,md5
N301,V5.07.49,US_N301V1.0BR_V5.07.49_en_new.zip,http://www.tendaus.com/Public/Attachment/ce820cc7-c89b-4ea0-ba08-836f73ef4e4c.zip,2013-10-21 00:00:00,941833,2af6e95fdd68efdfff3f83fcdb9d17e4b7f70445,8639bc08010e15904b4f5c889b42473f
AC15,V15.03.1,US_AC15V1.0BR_V15.03.1.8_EN_TDEUS.rar,http://www.tendaus.com/Public/Attachment/09c920f1-4f95-4680-98e0-abe44b0d600f.rar,2015-11-24 00:00:00,10219685,a5700efde9b1d6a1683fc8acbcce27584d384231,748308edcba63a3c319eb0fb257b3199
AC15,V15.03.1.8,US_AC15V1.0BR_V15.03.1.16_multi_TD01.rar,http://www.tendaus.com/Public/Attachment/dd2e6392-98e7-4280-9e8f-5587d2cf32e0.rar,2015-09-15 00:00:00,10227880,bf9279ae5dcb389bb64f5a421bd1d20256f35a85,972e9dc3713d8c783033cd41f4736bf2
AC15,V15.03.1,US_AC15V1.0BR_V15.03.1.10_EN_TDC+TDEUS_10.rar,http://www.tendaus.com/Public/Attachment/73907bf7-1c27-4036-8804-3f02f6bfc017.rar,2015-10-21 00:00:00,10219690,c9c05df338e4ea2baf3f3fb643313c2fb8129233,ee6fe516503f95e16323fb569fa06213
A301,V5.07.68,US_A301V1BR_V5.07.73_EN.rar,http://www.tendaus.com/Public/Attachment/5b1f3e48-e483-4559-8cd2-e1bd6399ccc8.rar,2014-04-17 00:00:00,1073247,78eb63121625d5628bfd6ff90e36ece2734f24d5,35f23cf6221c68d451366b4c96544220
A301,V5.07,US_A301V1BR_V5.07.68_EN.rar,http://www.tendaus.com/Public/Attachment/00516bf9-3de2-444b-8dd1-5e81ddc3a3f6.rar,2014-09-16 00:00:00,1039692,af49b05d1b9ba3f40afd3c19e2a13020a86768bd,83bf0974f1e8a532660acf232c8808a3
AC15,V15.03.1,US_AC15V1.0BR_V15.03.1.12_multi_TD01_10.rar,http://www.tendaus.com/Public/Attachment/204310a9-00e9-4f3b-8b26-9025947e4cc2.rar,2015-09-29 00:00:00,10223784,2a178bfc034e3d6ff6549c083c0eab141ee24b7d,c34bc02119c11acdd2ad70d4e035676b
W311MI,V3.0,W311MI V3.0 (Windows).rar,http://www.tendaus.com/Public/Attachment/31e6ba71-e973-4541-a4ec-e7eebc524ecc.rar,2016-02-10 20:43:50+00:00,39761484,e9b590134057b19c184a3331e1e6630234ebd43d,b62892c7e9b726b350b3b3da93a2a29d
W322U,,IS_Setup_ICS_081414_1.5.38.101 (2).zip,http://www.tendaus.com/Public/Attachment/ad6116b1-2b44-4334-9b78-6ec92a3834b0.zip,2016-02-10 21:05:48+00:00,40646510,c00ca987555c63cb3b73119aa71a1e0bdd10ae68,d39f77146bfe99338773d3500de9b38f
W322U,,IS_Setup_ICS_081414_1.5.38.101 (1).zip,http://www.tendaus.com/Public/Attachment/79f353e2-8bc1-4ed0-bcf2-fa1afe1d4328.zip,2016-02-11 18:34:28+00:00,40646510,c00ca987555c63cb3b73119aa71a1e0bdd10ae68,d39f77146bfe99338773d3500de9b38f
P1002P,V3.1.8,US_P1002PV1.0BR_V3.1.8_10417.rar,http://www.tendaus.com/Public/Attachment/a49836d4-b44f-40a4-b885-6d5007f4aee6.rar,2015-04-23 00:00:00,335974,c26b50421fa6dd7a52231be2dbb7d4394a4a04c0,e5a16e800df9113e8363650a08951ea5
P200V2.0,V2.3.6,US_P200V1.0&V2.0BR_V2.3.6c_US.rar,http://www.tendaus.com/Public/Attachment/abbbc0cc-0fb4-405d-b511-1ad1029b65e6.rar,2015-04-23 00:00:00,232615,93fcd6a131c6486170f5564167c9a8a46fa14a6b,2e151db1b938960f0eeef977f2521359
W301A,V3.3,W301A_V3.3.4j.rar,http://www.tendaus.com/Public/Attachment/694f82c0-5353-4ece-a464-f051d8677efe.rar,2011-03-23 00:00:00,1475864,c16f13c12ea486e89ff9b432e06b52cbc90d3068,ee4d3f80b53e2d776f7438839aeb3926
W301A,V5.07,US_W301AV7.0BR_V1.0.0.5_EN_TDE01.rar,http://www.tendaus.com/Public/Attachment/6eb87d12-67b7-4130-b5c0-6780940ed8e2.rar,2014-10-29 00:00:00,3883176,b1294610e5a4df2d1d4d036203768c406e281804,e31509c471ee582fb21baed384696f79
W301A,V1.0.0,US_W301AV7.0br_V1.0.0.3(467)_en_TD.rar,http://www.tendaus.com/Public/Attachment/9b1f6ea1-755c-45ff-8767-6a3f9d930f2e.rar,2014-08-22 00:00:00,3756202,d33b25ff4f2a23e6b63b10e36036786035e85265,71cbc5d99a58c868f6df4d0099e46352
AP4,V1.0.0.8,US_AP4V1.0BR_V1.0.0.8_EN_TDE01(1187).rar,http://www.tendaus.com/Public/Attachment/98a550c7-a108-44a4-994a-256fdf7008d5.rar,2015-06-12 00:00:00,3862696,8418d0dd2c20a19c0c368f58017c5b2db7e05219,c073fe17b81f2011c7ce4136454e6a4d
TEG3224P,V1.0,TEG3224P V1.0.rar,http://www.tendaus.com/Public/Attachment/dc81735e-53c5-46e9-8074-9e69c75f12cf.rar,2014-02-20 00:00:00,13254239,0059b1490c3195e592dd78d0a59fd50047fa586d,bc4a27b9447b1fbb215d73e379c1d013
PoE30G-AT,,PoE30G-AT.rar,http://www.tendaus.com/Public/Attachment/746a9fa9-3755-4c85-bfa8-02e3c27898a9.rar,2016-02-10 22:39:11+00:00,3384783,0f05b3cc01935a3bec9a9070d50c1a766c4c64a6,09ffcdcb6423ee635a2dc9966a6f88e0
