model,rev,fw_ver,fw_url,date,fsize,sha1,md5
DAP-1120,,1.00,http://pmdap.dlink.com.tw/PMD/GetAgileFile?itemNumber=FIR1500293&fileName=DAP1120A1_FW100B01.bin&fileSize=17289.0;5439486.0;,2015-07-07 00:00:00,5439486,079960617a069be170d900aa33c04ad662d26d33,d676faa88a6b43d57705e34e7863c92f
DAP-1320,,1.00,http://pmdap.dlink.com.tw/PMD/GetAgileFile?itemNumber=FIR1200527&fileName=DAP1320A1_FW100B24.bin&fileSize=16122.0;5439486.0;,2014-06-05 00:00:00,5439486,5910d0ea683fa28f560309301afb199862eeb23d,a70106a062e6db62484ee6d610c19d6d
DAP-1320,,2.01,http://pmdap.dlink.com.tw/PMD/GetAgileFile?itemNumber=FIR1400475&fileName=DAP1320B1_FW201B03.bin&fileSize=17641.0;5439486.0;,2014-10-07 00:00:00,5439486,965015985f4a5b26f173c9db8b0a72f070287fc9,741da8c715b8a08a0d546492de0a8493
DAP-1350,,1.11,http://pmdap.dlink.com.tw/PMD/GetAgileFile?itemNumber=FIR1000573&fileName=DAP-1350_A1_FWv1.11NAB19.bin&fileSize=83456.0;5439552.0;,2014-06-05 00:00:00,5439552,ccc7039a54fbdf71daf251af134531187dce04de,e4bb847e6ced1abe18f73505e06132db
DAP-1353,,3.10,http://tsd.dlink.com.tw/temp/PMD/8249/DLINKAPMII1353B.mib,2014-06-05 00:00:00,1161,2f31b82746e9f57d39323db4ed91e78a903b4dd4,d096f4e8b8da7be388d3e3904f42b2f8
DAP-1320,,2.00,http://pmdap.dlink.com.tw/PMD/GetAgileFile?itemNumber=FIR1400314&fileName=DAP1320B1_FW200B07.bin&fileSize=143368.0;5439486.0;,2014-06-06 00:00:00,5439486,219ac3c7357be49e31fb06f5bc54fcdae6733ee6,22df71583c5cec6ff85c7d8bd536a469
DAP-1160L,,1.00,http://pmdap.dlink.com.tw/PMD/GetAgileFile?itemNumber=FIR1200626&fileName=DAP1160LA1_FW100WWb12.bin&fileSize=73334.0;7110796.0;,2014-06-05 00:00:00,7110796,880a9473bb0480c25e9979db24fffab773606989,24f7f39dea9adeae0535f32ef098e96f
DAP-1320,,2.03,http://pmdap.dlink.com.tw/PMD/GetAgileFile?itemNumber=FIR1400807&fileName=DAP1320B1_FW203B02.bin&fileSize=15603.0;5439486.0;,2015-01-01 00:00:00,5439486,fb2467705b920ac0380fc8ea3cbf41ca52e41a80,64f2eb5d2ae86907e2b544039539fe5c
DAP-1353,,3.16,http://pmdap.dlink.com.tw/PMD/GetAgileFile?itemNumber=FIR1600149&fileName=DLINKAPMII1353B.mib&fileSize=4710592.0;298416.0;380845.0;,2016-03-28 00:00:00,0,da39a3ee5e6b4b0d3255bfef95601890afd80709,d41d8cd98f00b204e9800998ecf8427e
DAP-1350,,,http://pmdap.dlink.com.tw/PMD/GetAgileFile?itemNumber=FIR1200144&fileName=DAP1350A1_FW113EUB01.bin&fileSize=14682.0;5242944.0;,2014-06-05 00:00:00,5242944,b91451fc2c4f729181614b0a6adf9946e8bf2084,7669e476e7816dbedbfd2640d981f352
DAP-1320,,1.11,http://pmdap.dlink.com.tw/PMD/GetAgileFile?itemNumber=FIR1300682&fileName=DAP1320A2_FW111B10.bin&fileSize=18517.0;5439486.0;,2014-06-05 00:00:00,5439486,c7377f1d5a079b6f978898ff58e6a145654ce53e,3d13558425d1147654e8801a99605ce6
DAP-1350,,,http://pmdap.dlink.com.tw/PMD/GetAgileFile?itemNumber=FIR1200142&fileName=DAP1350A1_FW113NAB01.bin&fileSize=14556.0;5439552.0;,2014-06-05 00:00:00,5439552,680a3ca76744eadf1fe552fa5f9fc3c181cec777,3a7957a32bdca943a1ab0213545ce038
DAP-1350,,,http://pmdap.dlink.com.tw/PMD/GetAgileFile?itemNumber=FIR1200143&fileName=DAP1350A1_FW113WWB01.bin&fileSize=14564.0;5242944.0;,2014-06-05 00:00:00,5242944,80bce7071bbc90ae7c5ca79b0f98977b3413a58e,7365ff9acbf9e474a9c7e5a2bd478a28
DAP-1353,,2.11,http://pmdap.dlink.com.tw/PMD/GetAgileFile?itemNumber=FIR1000642&fileName=DAP1353-firmware-v2.11-rc013.bin&fileSize=502272.0;3694720.0;,2014-06-05 00:00:00,3694720,c13a83405ddd927ab98453cc8c1b7d2cef7a68cb,f2db4a1579668fa1c4c5193560c94d8e
DAP-1353,,3.16,http://pmdap.dlink.com.tw/PMD/GetAgileFile?itemNumber=FIR1600149&fileName=DAP1353B-firmware-v316-rc015.bin&fileSize=4710592.0;298416.0;380845.0;,2016-03-28 00:00:00,4710592,acdf9441e8b1ca2ae05fe2dd2a9f290dbb4bf8e4,af4e9b10f36c9f486769aec8faffd1a1
DAP-1360,,6.05,http://pmdap.dlink.com.tw/PMD/GetAgileFile?itemNumber=FIR1400132&fileName=DAP1360F1_FW605B01.img&fileSize=69632.0;3404968.0;,2014-06-05 00:00:00,3404968,05338254e1c62d134c214295ef7684980c84bd22,6b5810bc32eadfd8c56ae5b21c84bcf0
DAP-1520,,1.00,http://pmdap.dlink.com.tw/PMD/GetAgileFile?itemNumber=FIR1500164&fileName=DAP1520A1_FW100ETB02.zip&fileSize=15309.0;4374061.0;,2016-04-20 00:00:00,4374061,16b18859ce51742d9d73204a46cb8948a7189b2f,e94dbbeefc87132bef3c5843211cc381
DAP-1522,,1.40,http://pmdap.dlink.com.tw/PMD/GetAgileFile?itemNumber=FIR1100024&fileName=DAP1522A1_FW140b03.bin&fileSize=57440.0;49248.0;53344.0;49248.0;3256448.0;,2014-06-05 00:00:00,3256448,7bd21e79dd43836d2143f3af433388e4a77507af,9cfaeb49cae17435e6745b4ca17c1a51
DAP-1360,,6.08,http://pmdap.dlink.com.tw/PMD/GetAgileFile?itemNumber=FIR1500855&fileName=DAP1360F1_FW608B01.img&fileSize=3997736.0;3650216.0;68608.0;,2015-12-17 00:00:00,3650216,f9d45ec8a3bda1e115a7236e4a686586b3ea780b,f7a8358fde858b290453104dc219bd50
DAP-1520,,1.00,http://pmdap.dlink.com.tw/PMD/GetAgileFile?itemNumber=FIR1300765&fileName=DAP1520A1_FW100B21.bin&fileSize=14412.0;4784126.0;,2014-06-05 00:00:00,4784126,345564269d6c911d8a2428e8c4e8478ce6de85a7,cc47602403ee117f6e42185d150ed7ef
