model,rev,fw_ver,fw_url,fsize,fdate,sha1,md5
DAP-1120,A,1.00.B07,ftp://FTP2.DLINK.COM/PRODUCTS/DAP-1120/REVA/DAP-1120_REVA_FIRMWARE_1.00.B07.ZIP,4529104,1447286400.0,9548fd5faf832edc7efd673ef8a4a51344c22c36,086d93b9fced28f08019feb72caa43de
DAP-1320,A,1.20B07 REVA1 ONLY,ftp://ftp2.dlink.com/PRODUCTS/DAP-1320/REVA/DAP-1320_A1_FIRMWARE_1.20B07.ZIP,3762016,1425600000.0,1a2f3a93847943f94fe649a6a4365f1d37fad941,d0c7879ff5872bb0853c86dd1a2bbb05
DAP-1320,A,1.21.B01 REVA2,ftp://ftp2.dlink.com/PRODUCTS/DAP-1320/REVA/DAP-1320_A2_FIRMWARE_1.21B01.ZIP,3759439,1425600000.0,341cd042ead2b033dd1e76367553e353d8ce8e18,e9d27cb57310c26289d9b8c9bba98bd8
DAP-1320,A,1.21.B05,ftp://FTP2.DLINK.COM/PRODUCTS/DAP-1320/REVA/DAP-1320_REVA_FIRMWARE_1.21.B05_.ZIP,3755995,1407369600.0,9a1346769e7f058d0e7a1a9c4095bc58efc7a61e,3e2db486f7e4d883f13d7369aebc90c1
DAP-1320,A,1.00,ftp://ftp2.dlink.com/PRODUCTS/DAP-1320/REVA/DAP-1320_FIRMWARE_1.00.ZIP,2855191,1379289600.0,05b606644bc6c3ff6485f6febb2ee52fc5c3bf7c,84e5f0e7e97d80017c7ce335568e9a4c
DAP-1320,A,1.10,ftp://ftp2.dlink.com/PRODUCTS/DAP-1320/REVA/DAP-1320_FIRMWARE_1.10.ZIP,3573076,1379289600.0,3ba0867a204ff92338140a7467d4ef1fa996172d,9a054966d5bae68dcbffa94c2b5e6e0b
DAP-1320,A,1.21.B01 REVA1,ftp://ftp2.dlink.com/PRODUCTS/DAP-1320/REVA/DAP-1320_A1_FIRMWARE_1.21B01.ZIP,3676656,1400630400.0,036487e14c274264068e1a43b098ef0a88b32a2a,5d9369d798dcf28001ea704e1170a71b
DAP-1320,A,1.11,ftp://FTP2.DLINK.COM/PRODUCTS/DAP-1320/REVA/DAP-1320_FIRMWARE_1.11B10.ZIP,3576825,1380153600.0,b5c2edcda93a9c67217adde47342780281f11bc5,ebd3a01c9e2079de403cf336741e1870
DAP-1320,B,2.03.B02,ftp://FTP2.DLINK.COM/PRODUCTS/DAP-1320/REVB/DAP-1320_REVB_FIRMWARE_2.03.B02.ZIP,4523856,1418774400.0,7d58b9c6d7bef09ee122950cc2a90578b45bcac1,33a7f85b66142532134312dac1944290
DAP-1330,A,1.00.B21,ftp://FTP2.DLINK.COM/PRODUCTS/DAP-1330/REVA/DAP-1330_REVA_FIRMWARE_1.00.B21.ZIP,4553666,1454630400.0,18b886cab3cf2f091d39b5df87fb6eb451026de6,ee7cf4435da7ac93f6f795f62785954e
DAP-1350,A,1.13,ftp://ftp2.dlink.com/PRODUCTS/DAP-1350/REVA/DAP-1350_FIRMWARE_1.13.ZIP,5028260,1373500800.0,f56bddbfc40b415463565354380a4a09983bbe7d,5f1a8d2010a3cc343cc7f763d005568a
DAP-1350,A,1.10,ftp://FTP2.DLINK.COM/PRODUCTS/DAP-1350/REVA/DAP-1350_FIRMWARE_1.10.ZIP,4499224,1373500800.0,72d4b4ca4cb77c003df5f2ee9b556058c206c1b8,badc0dca202270521e3a7e4ce949c2fb
DAP-1350,A,1.14,ftp://ftp2.dlink.com/PRODUCTS/DAP-1350/REVA/DAP-1350_FIRMWARE_1.14B01.ZIP,5113808,1414972800.0,3d47211d7ea5405d6dc87546ff259e1dfb0896f5,2ec0b55e8983c1a3e7e2ba16e929009f
DAP-1350,A,1.11,ftp://FTP2.DLINK.COM/PRODUCTS/DAP-1350/REVA/DAP-1350_FIRMWARE_1.11.ZIP,5041898,1373500800.0,846b6ecd40e6653efa6138a9ef530fd71d868cf0,3a5b62950694a6a7a53852a4745925b0
DAP-1360,A,1.10,ftp://ftp2.dlink.com/PRODUCTS/DAP-1360/REVA/DAP-1360_REVA_FIRMWARE_1.10.ZIP,2063516,1414972800.0,a6e5ff53c39385eeb347225b3cc1beaefb3b7a12,5f44dcc2e3a0535dbdf2aca2467cc9f3
DAP-1360,B,2.11,ftp://FTP2.DLINK.COM/PRODUCTS/DAP-1360/REVB/DAP-1360_REVB_FIRMWARE_2.11.ZIP,2205459,1414972800.0,8145a737b9c7cfad172d6eb06f70fb7bba311460,f332c9dab4d62d359f09b96b9ad7d665
DAP-1360,B,2.10,ftp://FTP2.DLINK.COM/PRODUCTS/DAP-1360/REVB/DAP-1360_REVB_FIRMWARE_2.10.ZIP,2086059,1414972800.0,6168d86aec7ebd3eaae52075a49aa51a2541a508,196f349967879695b5de819d6159105b
