model,fver,fname,furl,fdate,fsize,sha1,md5
AMG1001-T10A,100AAJL0C0,AMG1001-T10A_100AAJL0C0.zip,ftp://ftp2.zyxel.com/AMG1001-T10A/firmware/AMG1001-T10A_100AAJL0C0.zip,2013-12-18 00:00:00,1268359,c22ad271fbaf7079d492954edb50f08db58a095a,d070cbead17565e6e388fd1644778494
AMG1202-T10B,2.00(AAFN.16)C0,AMG1202-T10B_2.00(AAFN.16)C0.zip,ftp://ftp2.zyxel.com/AMG1202-T10B/firmware/AMG1202-T10B_2.00(AAFN.16)C0.zip,2016-12-02 00:00:00,6992401,b721925d9a224d23cf4320f17a0578fcf7556665,ad7cab34ca06ec06b383f2031279dec2
AMG1302-T10B,2.00(AAJC.15)C0,AMG1302-T10B_2.00(AAJC.15)C0.zip,ftp://ftp2.zyxel.com/AMG1302-T10B/firmware/AMG1302-T10B_2.00(AAJC.15)C0.zip,2016-11-30 00:00:00,7002542,e1dae2a5d62bd1e61aa570038714b1679276de94,a91ec0b4aec13c845bc460423af36e13
AMG1302-T11C,3.00(ABCG.7)C0,AMG1302-T11C_3.00(ABCG.7)C0.zip,ftp://ftp2.zyxel.com/AMG1302-T11C/firmware/AMG1302-T11C_3.00(ABCG.7)C0.zip,2016-11-28 00:00:00,6745944,fc8c1f9744403f366f421a4ea5cc93e1068a3092,1b88e1002c6de39fb6ef05c775ca506e
AMG1312-T10B,2.00(AAFP.11)C0,AMG1312-T10B_2.00(AAFP.11)C0.zip,ftp://ftp2.zyxel.com/AMG1312-T10B/firmware/AMG1312-T10B_2.00(AAFP.11)C0.zip,2016-12-02 00:00:00,8334719,b62544aa1e83b16597506da2ffabaa9010bdd358,f2949abbc2a934856f783b01816361c0
EOC350-TS,100AAER0C0,EOC350-TS_100AAER0C0.rar,ftp://ftp2.zyxel.com/EOC350-TS/firmware/EOC350-TS_100AAER0C0.rar,2012-11-19 00:00:00,584956,5da3f4e38d09d4544350099143c90db73aaa4080,6e6ee4ab4176407b42ca393eb8a27c45
ES-315,3.70(AYA.1)C0,ES-315_3.70(AYA.1)C0.zip,ftp://ftp2.zyxel.com/ES-315/firmware/ES-315_3.70(AYA.1)C0.zip,2011-06-03 00:00:00,1874194,1957a0742de6668ab79478c5f3e8bf4f0b16b9ad,c5b6c26d1f13c3823e38fe551e6c78f4
FMG3024-D10A,1.00(AACI.0)C0,FMG3024-D10A_1.00(AACI.0)C0.zip,ftp://ftp2.zyxel.com/FMG3024-D10A/firmware/FMG3024-D10A_1.00(AACI.0)C0.zip,2014-11-03 00:00:00,15391979,6f83119382ff05b0b0fa4bcdbfe5b86d0e0ed19e,b617e5054353ab6436b1581fa74c4c7f
FMG3025-D10A,1.00(AACI.0)C0,FMG3025-D10A_1.00(AACI.0)C0.zip,ftp://ftp2.zyxel.com/FMG3025-D10A/firmware/FMG3025-D10A_1.00(AACI.0)C0.zip,2014-11-27 00:00:00,15411601,fdfc5fa2d92351ff74952a6ad007c68ae35218b0,d170ca58f9b074b4a9b2b313ae2ed6c4
G-170S,1.0,G-170S_1.0.zip,ftp://ftp2.zyxel.com/G-170S/firmware/G-170S_1.0.zip,2006-06-21 00:00:00,9381281,da044e321a5dd877e3d9c9307998482a7a24268d,3827a7447811eb7bb3f43205b4e03a34
